"BOKU_1","BOKU_2","BOKU_3","BOKU_4","SKG-I_1","SKG-I_2","SKG-I_3","SKG-I_4"
"41.7679","21.1615","145.7973","169.3170","30.0892","7.2837","61.2248","52.8456"
"221.9885","288.4401","358.9328","436.1614","641.9315","563.8781","495.9495","503.7640"
"329.9322","291.0020","263.3031","302.0614","367.2043","376.9536","226.2424","355.1929"
"903.7029","867.7910","619.8247","585.1048","679.6760","637.9907","611.3466","694.0555"
"82.0434","16.2910","28.2447","26.8202","10.6500","47.6947","81.4428","11.9256"
"365.2242","407.9070","216.3771","182.7624","448.9293","382.5540","197.9172","189.1795"
"17154.5300","18409.3000","17678.4100","18652.1400","18713.1300","20741.3100","19496.3500","18473.3600"
"685.2282","746.3906","1500.8600","1649.2000","762.1506","921.8005","668.6453","616.6782"
"6.4448","4.9123","7.1643","4.4206","4.7873","3.9915","4.1680","3.5017"
"441.3789","492.7616","688.2045","686.9287","696.3561","709.4951","824.1050","818.8685"
"1.0432","9.3374","19.1060","14.6939","8.2375","1.6015","31.7657","11.3383"
"406.6730","339.2430","381.9734","350.2589","2600.2400","2719.3200","1707.8100","1885.5200"
"405.0907","256.0894","624.5376","668.6514","2930.1400","2503.5900","3305.2100","2918.9000"
"164.8125","113.8923","184.9879","125.9685","163.0445","175.0270","159.7116","121.6427"
"70.3832","14.7264","56.1672","82.8024","85.4239","60.2914","78.8038","78.0455"
"743.4110","688.9871","1127.1000","918.4913","921.9652","818.4656","868.2229","919.8955"
"4.7017","2.8413","4.5350","3.4654","5.8005","4.0017","5.3801","4.0492"
"1742.4900","1671.4900","1808.7100","1943.4900","1429.7400","1398.7100","1027.4800","1209.7700"
"16.4746","8.4219","6.6778","6.2373","5.9989","3.8668","10.3979","6.3685"
"872.6644","888.1384","843.8245","837.5011","564.9688","503.9762","474.8400","540.9564"
"17.1724","21.8028","3.6415","1.5595","1065.3100","1112.8800","434.8273","479.7819"
"135.6303","197.8605","231.0593","244.2136","341.2625","324.0612","474.0384","412.7782"
"7804.5500","7804.7600","9228.0500","10909.0600","2867.1400","2560.5400","6547.8100","5687.4600"
"30.3450","2.5569","5.0694","48.8892","31.0896","2.6782","7.9706","2.2949"
"567.2198","475.4546","1143.9900","1127.4500","1555.3300","1657.3500","1225.0900","1377.0600"
"64.1789","62.1195","70.3449","71.8583","87.9020","22.4994","86.1215","62.3541"
"8.9337","6.7945","8.6323","23.0030","12.8611","12.2001","9.7995","4.4518"
"5.2971","9.4703","11.1065","5.6966","3.7463","11.4120","5.7955","11.8565"
"6.3236","4.2904","5.1884","18.1367","34.4518","6.9409","34.8399","6.2200"
"41.1517","48.1591","33.2085","37.7437","43.4510","23.9777","38.0511","34.6015"
"5.6726","39.3886","1.7601","9.4469","194.4432","121.5653","110.4336","108.0652"
"41.6557","4.0519","3.5633","27.8372","34.4686","2.2551","5.5747","1.6213"
"84.9816","109.9875","96.7249","126.4226","139.3449","132.1235","396.2831","251.5495"
"26.6715","34.9659","24.7615","3.6971","50.1421","41.9323","16.0052","39.2557"
"1.0000","1.0279","1.1549","7.0731","2.4722","3.9192","1.0000","2.0883"
"6.3636","4.5060","3.6826","5.2811","9.0152","30.7247","1.9913","5.5033"
"53.5254","68.1948","27.7155","83.1148","96.5154","34.5978","24.6317","55.8731"
"3.1813","2.9842","2.4476","6.3343","5.1133","2.6225","2.5132","1.1077"
"6.4441","21.7808","1.7348","16.6821","2.1530","4.9286","19.5583","11.0514"
"16.7552","34.1378","28.9952","39.7869","24.0562","33.9336","63.9848","35.6844"
"328.9500","377.8343","213.7248","122.3029","211.4021","334.4332","721.8187","570.1945"
"99.3140","141.1224","319.7935","353.2397","254.6356","254.4113","451.1266","430.3951"
"47.1636","12.9703","62.8645","48.2445","45.4589","10.1077","20.3805","6.4631"
"413.9406","374.6735","412.3471","401.8636","743.7269","618.3742","439.1423","489.2700"
"62.5711","103.3179","104.6751","87.9579","194.1302","194.8857","146.3289","131.6753"
"213.9187","187.5791","110.2378","121.6843","178.7801","199.0085","139.4490","155.8390"
"98.5921","57.8174","88.8867","74.6329","81.7643","107.9760","75.0665","99.3269"
"142.8827","180.9913","316.1064","350.5379","165.6034","169.3871","278.8976","297.7658"
"157.2497","174.6431","164.2041","215.9530","178.6303","142.7060","117.4990","122.1373"
"6.9742","35.4525","3.8034","6.3973","44.3897","21.7398","21.3657","2.0951"
"72.5926","52.9654","45.8131","50.8413","10.9821","44.4779","2.1791","37.4833"
"68.6072","71.8888","63.9229","45.5432","41.2966","68.0226","73.1943","71.1566"
"1671.1000","2520.8600","1900.4300","1692.4200","2185.2500","1734.1700","2072.8800","2339.3200"
"3.8868","15.3528","3.3102","4.1748","10.1171","24.5825","29.9311","5.0664"
"4789.7400","4834.1400","3718.4100","3754.1500","7417.3800","8231.8800","10430.9700","10685.8600"
"43.1398","2.1073","4.0702","1.1281","3.0031","17.0425","14.1725","4.6239"
"1697.6000","2118.3400","2731.8600","2574.2400","814.9879","854.1639","1734.2000","1762.1400"
"50.1932","61.0448","65.4387","47.6326","96.7192","88.1988","64.7376","44.4663"
"18.3725","16.7464","11.0477","12.9219","27.7980","17.3972","16.2163","10.1312"
"31.2767","4.2366","21.5709","55.6636","24.1823","68.5484","39.8344","40.4984"
"32.5484","36.7557","4.7532","11.7864","20.9728","20.9181","41.7702","19.5040"
"1873.4800","2015.0000","2175.7600","2239.0900","857.3621","952.9802","1116.6500","1088.1600"
"395.4868","489.0700","1114.6800","859.1542","96.6726","113.1952","257.8635","196.8115"
"83.4673","67.6417","111.2126","41.5987","63.7643","50.1167","44.2955","44.7758"
"18.2427","12.4960","9.1566","4.1551","15.9533","8.2972","30.5199","33.8489"
"14355.5600","14759.9300","11643.9400","13569.8200","7957.6700","8396.7600","7907.4900","8147.9100"
"56.0617","71.9318","66.8160","95.0817","27.1891","43.7516","47.7586","60.0942"
"56.9907","62.1079","54.5521","10.7994","47.1927","36.6904","27.9953","43.2765"
"67.1639","61.5151","97.3307","60.5286","100.8822","106.8138","67.3017","90.2812"
"2.2011","4.2794","2.8734","5.9534","6.2430","19.6896","20.2003","9.8606"
"3028.2600","3005.5200","5587.9500","5589.1300","3402.4000","3611.3900","2882.2800","3108.4600"
"2006.7700","2054.7700","1143.8500","1060.7600","2786.0800","2770.0400","1835.0100","1956.9900"
"10.8221","6.9977","7.3006","2.8054","3.9262","4.6793","3.2033","2.0330"
"19.3979","31.4223","27.1997","13.2323","18.9583","8.0181","15.7805","11.8265"
"343.3914","304.9507","254.5757","302.7248","404.7861","461.7456","346.2463","338.2623"
"602.8099","654.0637","698.0447","671.0119","636.9462","697.9462","481.5618","678.7709"
"55.1061","26.9276","75.3056","62.5765","48.5165","76.2599","82.4508","54.2910"
"5.0367","24.2846","0.0000","2.8050","16.4163","15.4103","7.0272","26.1290"
"31.9418","53.5823","49.8428","63.0067","25.6034","37.4746","14.2904","11.2864"
"48.3520","32.1264","40.6175","28.1451","1.3556","1.1584","1.7057","23.0928"
"4011.5800","3454.9600","3418.1600","3039.6500","4219.5200","4465.8100","3214.7400","2839.9700"
